year,richness,richness_ci_lower,richness_ci_upper,shannon,shannon_ci_lower,shannon_ci_upper,n_records
2015,70,62.0,69.0,3.0620914189339463,3.001718291484203,3.0970145445464223,8162
2016,77,68.0,75.0,3.053395888475342,3.01110386951238,3.0821085749080286,11010
2017,71,63.0,70.0,3.020511853113272,2.972865230964227,3.055491688809193,9228
2018,73,65.0,72.0,2.9993937445373735,2.955989169830211,3.0297200649221905,9733
2019,70,63.0,69.0,3.014705059650945,2.968302546070862,3.0438907122231624,9572
2020,68,62.0,68.0,3.0434795372219914,2.9858918192877466,3.0746094686647742,9956
2021,69,61.0,67.0,3.045895895357743,2.991067949332667,3.077191079495348,10604
2022,68,61.0,67.0,3.0367857373275293,2.9868735884198183,3.0683219194132505,10804
2023,67,59.0,66.0,3.0576736241209055,3.0141283522671167,3.086789795995318,10224
2024,70,64.0,70.0,3.0432917001884507,3.000324713911021,3.070497483791539,10051
