year,observer_effort,effort_lower,effort_upper,transects_surveyed,transects_lower,transects_upper
2015.0,8162,8162.0,8162.0,53,53.0,53.0
2016.0,11010,11010.0,11010.0,59,59.0,59.0
2017.0,9228,9228.0,9228.0,60,60.0,60.0
2018.0,9733,9733.0,9733.0,65,65.0,65.0
2019.0,9572,9572.0,9572.0,64,64.0,64.0
2020.0,9956,9956.0,9956.0,63,63.0,63.0
2021.0,10604,10604.0,10604.0,63,63.0,63.0
2022.0,10804,10804.0,10804.0,63,63.0,63.0
2023.0,10224,10224.0,10224.0,64,64.0,64.0
2024.0,10051,10051.0,10051.0,65,65.0,65.0
